English,Farsi,Source
"More information: <https://manned.org/clear>. 
","اطلاعات بیشتر: <https://manned.org/clear>. 
",tldr-pages
"Clear the screen (equivalent to pressing Control-L in Bash shell) 
","پاک کردن صفحه (معادل فشردن کلیدهای کنترل+ال در پوسته بش) 
",tldr-pages
"Clear the screen but keep the terminal's scrollback buffer 
","پاک کردن صفحه ترمینال با نگاه داشتن حافظه 
",tldr-pages
"Indicate the type of terminal to clean (defaults to the value of the environment variable `TERM`) 
","مشخص نمودن نوع ترمینال برای پاکسازی (مقدار پیشفرض در متغییر عمومی `Term` 
",tldr-pages
"Show the version of `ncurses` used by `clear` 
","نمایش نسخه `ncurses` استفاده شده در `clear` 
",tldr-pages
"Compare two files byte by byte. 
","مقایسه بایت به بایت دو فایل. 
",tldr-pages
"More information: <https://www.gnu.org/software/diffutils/manual/html_node/Invoking-cmp.html>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/diffutils/manual/html_node/Invoking-cmp.html>. 
",tldr-pages
"Output char and line number of the first difference between two files 
","نمایش کارکتر و خطی که اولین تفاوت دو فایل در آن یافت ش 
",tldr-pages
"Output info of the first difference: char, line number, bytes, and values 
","نمایش اطلاعات اولین تفاوت پیدا شده: کاراکتر، شماره خط، بایت ها، و مقادیر آنه 
",tldr-pages
"Output the byte numbers and values of every difference 
","نمایش شماره بایتها و مقادیر تمامی تفاوت ه 
",tldr-pages
"Compare files but output nothing, yield only the exit status 
","مقایسه فایلها در حالت خاموش، تنها مقدار خروجی برنامه در ترمینال در دسترس اس 
",tldr-pages
"Copy files and directories. 
","کپی فایل ها و دایرکتوری ها. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/cp>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/cp>. 
",tldr-pages
"Recursively copy a directory's contents to another location (if the destination exists, the directory is copied inside it) 
","کپی یک دایرکتوری به صورت کامل به مقصد جدید(اگر در مقصد دایرکتوری وجود داشت دایرکتوری مبدا در داخل دایرکتوری مقصد کپی می شود) 
",tldr-pages
"Copy a directory recursively, in verbose mode (shows files as they are copied) 
","کپی یک دایرکتوری به صورت کامل با نمایش جزییات (نمایش فایل های کپی شده) 
",tldr-pages
"Copy text files to another location, in interactive mode (prompts user before overwriting) 
","کپی کلیه فایل های با پسوند `txt` به دایرکتوری مقصد در حالت تعاملی (قبل از بازنویسی تاییده توسط کاربر نیاز است) 
",tldr-pages
"Follow symbolic links before copying 
","کپی لینک به مقصد بدون ارجاع به فایل اصلی 
",tldr-pages
"Convert and copy a file. 
","تبدیل و کپی یک فایل. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/dd>. 
","بیشتر اطلاعات: <https://www.gnu.org/software/coreutils/dd>. 
",tldr-pages
"Make a bootable USB drive from an isohybrid file (such like `archlinux-xxx.iso`) 
","یک حافظه قابل حمل با قابلیت بوت شدن میسازد، برای مثال `archlinux-xxx.iso` 
",tldr-pages
"Clone a drive to another drive with 4 MiB block and ignore error 
","محتویات یک درایو را در مکانی دیگر با بلوک های 4 مگابایتی کپی و همچنین از خطاها صرف نظر میکن 
",tldr-pages
"Generate a file of 100 random bytes by using kernel random driver 
","یک فایل ۱۰۰ بایتی تصادفی با استفاده از درایور تصادفی هسته بسازید 
",tldr-pages
"Benchmark the write performance of a disk 
","عملکرد نوشتن دیسک را بسنجید 
",tldr-pages
"Gives an overview of the filesystem disk space usage. 
","یک نمای کلی از میزان استفاده فضای دیسک و سیستم فایل ارائه می‌دهد. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/df>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/df>. 
",tldr-pages
"Display all filesystems and their disk usage 
","نمایش تمامی سیستم‌های فایل و فضای دیسک آن‌ها 
",tldr-pages
"Display all filesystems and their disk usage in human-readable form 
","نمایش تمامی سیستم‌های فایل و استفاده از حالت خوانا برای فضای دیسک آن‌ها 
",tldr-pages
"Display the filesystem and its disk usage containing the given file or directory 
","نمایش سیستم‌فایل و فضای دیسک آن شامل فایل یا دایرکتوری داده شده 
",tldr-pages
"Display statistics on the number of free inodes 
","نمایش آمار تعداد درایوهای آزاد 
",tldr-pages
"Display filesystems but exclude the specified types 
","نمایش سیستم‌های فایل با حذف انواع مشخص شده 
",tldr-pages
"Compare files and directories. 
","مقایسه فایل(ها) و پوشه(ها). 
",tldr-pages
"More information: <https://man7.org/linux/man-pages/man1/diff.1.html>. 
","اطلاعات بیشتر: <https://man7.org/linux/man-pages/man1/diff.1.html>. 
",tldr-pages
"Compare files (lists changes to turn `old_file` into `new_file`) 
","مقایسه فایل ها (فهرست تغییرات فایل های قدیمی به جدید) 
",tldr-pages
"Compare files, ignoring white spaces 
","مقایسه فایل ها، با صرف نظر از فاصله های خال 
",tldr-pages
"Compare files, showing the differences side by side 
","مقایسه فایل ها، با نمایش تفاوت ها در کنار ه 
",tldr-pages
"Compare files, showing the differences in unified format (as used by `git diff`) 
","مقایسه فایل ها، به نمایش تفاوت ها به صورت یکپارچه (همانند `git diff`) 
",tldr-pages
"Compare directories recursively (shows names for differing files/directories as well as changes made to files) 
","مقایسه بازگشتی پوشه ها (نمایش اسامی متفاوت فایل ها و پوشه ها و همچنین تغییرات فایل ها 
",tldr-pages
"Compare directories, only showing the names of files that differ 
","نمایش نام فایل های متفاوت مقایسه شد 
",tldr-pages
"Create a patch file for Git from the differences of two text files, treating nonexistent files as empty 
","از تفاوت دو فایل متنی یک بروزرسانی میسازد، فایل های ناموجود را خالی فرض میکند 
",tldr-pages
"Print given arguments. 
","چاپ ورودی داده شده. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/echo>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/echo>. 
",tldr-pages
"Print a message without the trailing newline 
","چاپ یک پیام بدون انتقال به خط جدی 
",tldr-pages
"Append a message to the file 
","افزودن یک پیام به انتهای یک فای 
",tldr-pages
"Enable interpretation of backslash escapes (special characters) 
","فعال کردن تفسیر کاراکترهای خاص، برای مثال ta 
",tldr-pages
"Print the exit status of the last executed command (Note: In Windows Command Prompt and PowerShell the equivalent commands are `echo %errorlevel%` and `$lastexitcode` respectively) 
","چاپ وضعیت خروج آخرین دستور اجرا شده (نکته: معادل های این دستور در ویندور به ترتیب echo %errorlevel% و $lastexitcode هستند.) 
",tldr-pages
"Command to mark shell variables in the current environment to be exported with any newly forked child processes. 
","دستور تغییر متغییرهای محلی سیستم موجود برای پروسه های جدید 
",tldr-pages
"More information: <https://www.gnu.org/software/bash/manual/bash.html#index-export>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/bash/manual/bash.html#index-export>. 
",tldr-pages
"Set a new environment variable 
","ایجاد و تعیین مقدار یک متغییر جدی 
",tldr-pages
"Remove an environment variable 
","حذف یک متغییر سیستم 
",tldr-pages
"Mark a shell function for export 
","افزودن یک تابع شل به متغییر سیستم 
",tldr-pages
"Append something to the PATH variable 
","افزودن یک مسیر به متغییر $PAT 
",tldr-pages
"Returns a non-zero exit code. 
","برگرداندن 1 به عنوان کد خروجی. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/false>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/false>. 
",tldr-pages
"Return a non-zero exit code 
","برگرداندن 1 به عنوان کد خروجی 
",tldr-pages
"Run jobs in foreground. 
","اجرای کارها در پیش زمینه. 
",tldr-pages
"More information: <https://manned.org/fg>. 
","اطلاعات بیشتر: <https://manned.org/fg>. 
",tldr-pages
"Bring most recently suspended or running background job to foreground 
","آوردن آخرین کار اجرا شده در پس زمینه به پیش زمینه 
",tldr-pages
"Bring a specific job to foreground 
","آوردن کار با آی دی مشخص شده به پیش زمینه 
",tldr-pages
"Find patterns in files using regular expressions. 
","یافتن الگو در فایل ها به کمک عبارات با قاعده 
",tldr-pages
"More information: <https://www.gnu.org/software/grep/manual/grep.html>. 
","اطلاعات بیشتر : <https://www.gnu.org/software/grep/manual/grep.html>. 
",tldr-pages
"Search for a pattern within a file 
","جستجو یک الگو در یک فایل 
",tldr-pages
"Search for an exact string (disables regular expressions) 
","جستجو یک عبارت خاص (معادل مقایسه رشته ای) 
",tldr-pages
"Search for a pattern in all files recursively in a directory, showing line numbers of matches, ignoring binary files 
","جستجو بازگشتی یک الگو در تمامی فایل های یک پوشه، نمایش تمامی خطوط منطبق، فایل های باینری را رد میکن 
",tldr-pages
"Use extended regular expressions (supports `?`, `+`, `{}`, `()` and `|`), in case-insensitive mode 
","استفاده از عبارات با قاعده توسعه یافته (با پشتیبانی از `?`، `+`، `{}`، `()` و `|`)، در حالت حساس به بزرگی کوچکی کاراکتر ها 
",tldr-pages
"Print 3 lines of context around, before, or after each match 
","چاپ 3 خط از قبل و بعد محل انطبا 
",tldr-pages
"Print file name and line number for each match with color output 
","چاپ نام فایل و شماره خط برای هر انطباق با رنگبندی 
",tldr-pages
"Search for lines matching a pattern, printing only the matched text 
","جستجوی خطوط منطبق، چاپ متن منطبق 
",tldr-pages
"Search `stdin` for lines that do not match a pattern 
","ورودی استاندارد (stdin) رو برای الگوهایی که منطبق نیستند جستجو میکند 
",tldr-pages
"Output the first part of files. 
","نمایش محتوای ابتدایی یک فایل 
",tldr-pages
"More information: <https://manned.org/head.1p>. 
","اطلاعات بیشتر: <https://manned.org/head.1p>. 
",tldr-pages
"Output the first few lines of a file 
","نمایش چند خط اول یک فای 
",tldr-pages
"Network Interface Configurator. 
","تنظیم کننده رابط های شبکه. 
",tldr-pages
"More information: <https://net-tools.sourceforge.io/man/ifconfig.8.html>. 
","اطلاعات بیشتر: <https://net-tools.sourceforge.io/man/ifconfig.8.html>. 
",tldr-pages
"View network settings of an Ethernet adapter 
","نمایش تنظیمات شبکه یک کارت شبکه 
",tldr-pages
"Display details of all interfaces, including disabled interfaces 
","نمایش جزئیات تمامی رابط ها، مشمول رابط های غیرفعال میشود 
",tldr-pages
"Disable eth0 interface 
","غیرفعال کردن رابط eth0 
",tldr-pages
"Enable eth0 interface 
","فعال کردن رابط eth0 
",tldr-pages
"Assign IP address to eth0 interface 
","اختصاص آدرس ای پی به رابط eth0 
",tldr-pages
"Shows the user's login name. 
","نمایش نام کاربر. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/logname>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/logname>. 
",tldr-pages
"Display the currently logged in user's name 
","نمایش نام کاربر لاگین شده 
",tldr-pages
"List directory contents. 
","نمایش محتویات دایرکتوری. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/ls>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/ls>. 
",tldr-pages
"List files one per line 
","نمایش فایل ها به صورت خطی 
",tldr-pages
"List all files, including hidden files 
","نمایش کلیه فایل ها، شامل فایل های مخفی 
",tldr-pages
"List all files, with trailing `/` added to directory names 
","نمایش فایل ها، با این تفاوت که / به نام دایرکتوری ها اضافه می شود 
",tldr-pages
"Long format list (permissions, ownership, size, and modification date) of all files 
","نمایش فایل ها به همراه مجوزها، مالک، اندازه و تاریخ تغییرات 
",tldr-pages
"Long format list with size displayed using human-readable units (KiB, MiB, GiB) 
","نمایش فایل ها به همراه مجوزها، مالک، اندازه و تاریخ تغییرات، اندازه ها به صورت قابل درک برای انسان 
",tldr-pages
"Long format list sorted by size (descending) 
","نمایش فایل ها به همراه مجوزها، مالک، اندازه و تاریخ تغییرات، مرتب شده با اندازه فایل به صورت نزولی 
",tldr-pages
"Long format list of all files, sorted by modification date (oldest first) 
","نمایش فایل ها به همراه مجوزها، مالک، اندازه و تاریخ تغییرات، مرتب شده با تاریخ تغییر فایل به صورت صعودی 
",tldr-pages
"Allows for a process to live when the terminal gets killed. 
","اجرای یک پردازش در پس زمینه حتی زمانی که ترمینال بسته شود. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/nohup>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/nohup>. 
",tldr-pages
"Run a process that can live beyond the terminal 
","اجرای پردازش در پس زمینه فارغ از اجرا بودن ترمینال 
",tldr-pages
"Delay for a specified amount of time. 
","ایجاد تاخیر بر اساس زمان. 
",tldr-pages
"More information: <https://pubs.opengroup.org/onlinepubs/9699919799/utilities/sleep.html>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/sleep>. 
",tldr-pages
"Delay in seconds 
","تاخیر به ثانیه 
",tldr-pages
"Measure how long a command took to run. Note: `time` can either exist as a shell builtin, a standalone program or both. 
","نمایش زمان اجرای یک دستور. 
",tldr-pages
"More information: <https://manned.org/time>. 
","اطلاعات بیشتر: <https://manned.org/time>. 
",tldr-pages
"Returns terminal name. 
","نمایش نام ترمینال. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/tty>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/tty>. 
",tldr-pages
"Print the file name of this terminal 
","نمایش نام فایل ترمینال جاری 
",tldr-pages
"Print details about the current machine and the operating system running on it. See also `lsb_release`. 
","نمایش اطلاعاتی درباره سخت افزار و سیستم عامل. نکته: برای دستیابی به اطلاعات اضافه در رابطه با سیستم عامل از دستور `lsb_release` استفاده کنید. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/uname>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/uname>. 
",tldr-pages
"Hides the mouse cursor. 
","مخفی کردن نشان ماوس. 
",tldr-pages
"More information: <https://manned.org/unclutter.1x>. 
","اطلاعات بیشتر: <https://manned.org/unclutter.1x>. 
",tldr-pages
"Hide mouse cursor after 3 seconds 
","مخفی کردن نشان ماوس بعد از 3 ثانیه 
",tldr-pages
"Display a list of logged in users. See also: `useradd`, `userdel`, `usermod`. 
","نمایش لیست کاربران لاگین شده. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/users>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/users>. 
",tldr-pages
"Print logged in usernames 
","نمایش لیست کاربران لاگین شده 
",tldr-pages
"Print logged in usernames according to a given file 
","نمایش لیست کاربران لاگین شده بر اساس یک لاگ فایل خاص 
",tldr-pages
"A read-only version of `vim`. This is equivalent to `vim -R`. 
","نسخه فقط خواندنی vim. 
",tldr-pages
"More information: <https://www.vim.org>. 
","معادل vim -R.<https://www.vim.org>. 
",tldr-pages
"Open a file 
","باز کردن فایل 
",tldr-pages
"Locate the binary, source, and manual page files for a command. 
","پیداکردن فایل اجرایی، سورس، صفحه راهنما برای یک دستور. 
",tldr-pages
"More information: <https://manned.org/whereis>. 
","اطلاعات بیشتر: <https://manned.org/whereis>. 
",tldr-pages
"Locate binary, source and man pages for ssh 
","پیداکردن فایل اجرایی، سورس و صفحه راهنما برای ssh 
",tldr-pages
"Locate binary and man pages for ls 
","پیداکردن فایل اجرایی و صفحه راهنما برای ls 
",tldr-pages
"Locate source of gcc and man pages for Git 
","پیداکردن سورس برای gcc و صفحه راهنما برای git 
",tldr-pages
"Locate binaries for gcc in `/usr/bin/` only 
","پیداکردن فایل اجرایی برای gcc در مسیر `/usr/bin/` 
",tldr-pages
"Locate unusual binaries (those that have more or less than one binary on the system) 
","پیدا کردن فایل های اجرایی غیر عادی(برای آنهایی که بیشتر از یک فایل اجرایی در سیستم دارند) 
",tldr-pages
"Locate binaries that have unusual manual entries (binaries that have more or less than one manual installed) 
","پیدا کردن صفحات راهنمای غیر عادی(برای آنهایی که بیشتر از یک فایل اجرایی در سیستم دارند) 
",tldr-pages
"Display one-line descriptions from manual pages. 
","نمایش توضیحات یک خطی از صفحات راهنما. 
",tldr-pages
"More information: <https://manned.org/whatis>. 
","اطلاعات بیشتر: <https://manned.org/whatis>. 
",tldr-pages
"Display a description from a man page 
","نمایش توضیحات یک دستور از صفحات راهنما 
",tldr-pages
"Don't cut the description off at the end of the line 
","توضیحات در آخر خط ترمینال برش نمی خورد 
",tldr-pages
"Display descriptions for all commands matching a glob 
","نمایش توضیحات تمامی دستورات مطابق با الگو 
",tldr-pages
"Search man page descriptions with a regular expression 
","جستجو در توضیحات صفحات راهنما با عبارات منظم 
",tldr-pages
"Package management utility for RHEL, Fedora, and CentOS (for older versions). For equivalent commands in other package managers, see <https://wiki.archlinux.org/title/Pacman/Rosetta>. 
","ابزار مدیریت بسته برای ردهت، فدورا و سنت اواس(برای نسخه های قدیمی). 
",tldr-pages
"More information: <https://manned.org/yum>. 
","اطلاعات بیشتر: <https://manned.org/yum>. 
",tldr-pages
"Install a new package 
","نصب یک بسته 
",tldr-pages
"Install a new package and assume yes to all questions (also works with update, great for automated updates) 
","نصب یک بسته با فرض بر اینکه پاسخ شما برای تمامی سوالات بله است(با گزینه update هم می توان از این روش استفاده کرد، مناسب برای به روز رسانی خودکار) 
",tldr-pages
"Find the package that provides a particular command 
","پیدا کردن بسته ای که دستور مورد نظر را فراهم می کند 
",tldr-pages
"Remove a package 
","حذف یک بسته 
",tldr-pages
"Display available updates for installed packages 
","نمایش به روز رسانی ها برای بسته های نصب شده 
",tldr-pages
"Upgrade installed packages to the newest available versions 
","به روز رسانی بسته های نصب شده به آخرین نسخه موجود 
",tldr-pages
"Clears the screen. 
","پاک کردن صفحه. 
",tldr-pages
"More information: <https://learn.microsoft.com/windows-server/administration/windows-commands/cls>. 
","اطلاعات بیشتر: <https://learn.microsoft.com/windows-server/administration/windows-commands/cls>. 
",tldr-pages
"Clear the screen 
","پاک کردن صفحه 
",tldr-pages
"Display the contents of a file. 
","نمایش محتویات فایل. 
",tldr-pages
"More information: <https://learn.microsoft.com/windows-server/administration/windows-commands/type>. 
","اطلاعات بیشتر: <https://learn.microsoft.com/windows-server/administration/windows-commands/type>. 
",tldr-pages
"Display the contents of a specific file 
","نمایش محتویات فایل مشخص شده 
",tldr-pages
"Display the current Windows or MS-DOS version number. 
","نمایش شماره نسخه ویندوز یا داس. 
",tldr-pages
"More information: <https://learn.microsoft.com/windows-server/administration/windows-commands/ver>. 
","اطلاعات بیشتر: <https://learn.microsoft.com/windows-server/administration/windows-commands/ver>. 
",tldr-pages
"Display the current version number 
","نمایش شماره نسخه 
",tldr-pages
"
","
",tldr-pages
